name,kegg,biocyc,smdb,other
paraoxon degradation,,,,
parathio degradation,,,,"<a href=""http://metafishnet.appspot.com/pathway/172"" target='_blank'>Other Link</a>"
penicillin and cephalosporin biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00311"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
pentose and glucuronate interconversions,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00040"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
pentose phosphate pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00030"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00043"""" target=_new>SMP</a>",
pentose phosphate pathway (non-oxidative branch),,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PENTOSE-P-PWY"" target='_blank'>Other Link</a>"
pentose phosphate pathway (oxidative branch),,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PENTOSE-P-PWY"" target='_blank'>Other Link</a>"
pentose phosphate pathway (partial),,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PENTOSE-P-PWY"" target='_blank'>Other Link</a>"
peptidoglycan biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00550"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
periplasmic nad degradation,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?object=PERIPLASMA-NAD-DEGRADATION"" target='_blank'>Other Link</a>"
peroxisome,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04146"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
phagosome,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04145"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
phenylalanine biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4153"" target='_blank'>Other Link</a>"
phenylalanine degradation,,,,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP573"" target='_blank'>Other Link</a>"
phenylalanine degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?object=PHENYLALANINE-DEG"" target='_blank'>BioCyc Link</a>",,
phenylalanine degradation i (aerobic),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PHENYLALANINE-DEG1-PWY"" target='_blank'>BioCyc Link</a>",,
"phenylalanine degradation iv (mammalian, via side chain)",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6318&detail-level=2"" target='_blank'>BioCyc Link</a>",,
phenylalanine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00360"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
"phenylalanine, tyrosine and tryptophan biosynthesis","<a href=""http://www.genome.jp/kegg-bin/show_pathway?00400"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
phenylethanol biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5751"" target='_blank'>BioCyc Link</a>",,
phenylethylamine degradation i,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=2PHENDEG-PWY"" target='_blank'>Other Link</a>"
phenylpropanoid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00940"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
phosphatidate biosynthesis i (the dihydroxyacetone pathway),,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-7411"" target='_blank'>Other Link</a>"
phosphatidate biosynthesis ii (the glycerol-3-phosphate pathway),,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=PWY3O-6499&detail-level=2"" target='_blank'>Other Link</a>"
phosphatidyl-ethanolamine biosynthesis,,,,
phosphatidylcholine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY3O-450"" target='_blank'>BioCyc Link</a>",,
phosphatidylcholine biosynthesis i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY3O-450"" target='_blank'>BioCyc Link</a>",,
phosphatidylcholine biosynthesis v,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6825"" target='_blank'>BioCyc Link</a>",,
phosphatidylethanolamine biosynthesis i,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=NIL&object=PWY-5669"" target='_blank'>Other Link</a>"
phosphatidylethanolamine biosynthesis ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY4FS-6"" target='_blank'>BioCyc Link</a>",,
phosphatidylethanolamine biosynthesis iii,,"<a href=""https://biocyc.org/META/new-image?object=PWY4FS-3"" target='_blank'>BioCyc Link</a>",,
phosphatidylinositol phosphate biosynthesis,,"<a href=""https://biocyc.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-242"" target='_blank'>BioCyc Link</a>",,
phosphatidylinositol phosphate metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/175"" target='_blank'>Other Link</a>"
phosphatidylinositol signaling system,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04070"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
phospholipases,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=LIPASYN-PWY"" target='_blank'>BioCyc Link</a>",,
phospholipid biosynthesis (kennedy pathway),,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-450"" target='_blank'>Other Link</a>"
phospholipid biosynthesis ii (kennedy pathway),,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-450"" target='_blank'>Other Link</a>"
phospholipids degradation,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=LIPASYN-PWY-1"" target='_blank'>Other Link</a>"
phosphonate and phosphinate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00440"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
phosphopantothenate biosynthesis i,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=LIPASYN-PWY"" target='_blank'>BioCyc Link</a>",,
photosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00195"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
photosynthesis - antenna proteins,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00196"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
phytanic acid peroxisomal oxidation,,,,"<a href=""http://metafishnet.appspot.com/pathway/176"" target='_blank'>Other Link</a>"
polycyclic aromatic hydrocarbon degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00624"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
polyketide sugar unit biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00523"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
polyunsaturated fatty acid biosynthesis,,,,"<a href=""http://metafishnet.appspot.com/pathway/177"" target='_blank'>Other Link</a>"
porphyrin and chlorophyll metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00860"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
porphyrin metabolism,,,"<a href=""http://www.smpdb.ca/view/SMP00044"""" target=_new>SMP</a>","<a href=""http://metafishnet.appspot.com/pathway/178"" target='_blank'>Other Link</a>"
pregnenolone biosynthesis,,,,
primary bile acid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00120"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
proline biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PROSYN-PWY"" target='_blank'>Other Link</a>"
proline biosynthesis i,,"<a href=""https://biocyc.org/META/new-image?object=PROSYN-PWY"" target='_blank'>BioCyc Link</a>",,
proline biosynthesis ii,,,,
proline biosynthesis ii (from arginine),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-4981"" target='_blank'>BioCyc Link</a>",,
proline biosynthesis iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-3341"" target='_blank'>BioCyc Link</a>",,
proline degradation,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PROLINE-DEG"" target='_blank'>Other Link</a>"
proline degradation i,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PROUT-PWY"" target='_blank'>Other Link</a>"
proline degradation ii,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PROUT-PWY"" target='_blank'>Other Link</a>"
propanoate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00640"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00046"""" target=_new>SMP</a>",
prostaglandin formation from arachidonate,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?07035"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/180"" target='_blank'>Other Link</a>"
prostaglandin formation from dihomo gama-linoleic acid,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?07035"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/181"" target='_blank'>Other Link</a>"
prostanoid biosynthesis,,,,
proteasome,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03050"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
protein citrullination,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-4921"" target='_blank'>BioCyc Link</a>",,
protein export,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03060"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
protein processing in endoplasmic reticulum,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04141"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
proteoglycan biosynthesis,,,,"<a href=""http://metafishnet.appspot.com/pathway/182"" target='_blank'>Other Link</a>"
prpp biosynthesis,,"<a href=""https://biocyc.org/META/new-image?object=PWY0-662"" target='_blank'>BioCyc Link</a>",,
prpp biosynthesis i,,"<a href=""https://biocyc.org/META/new-image?object=PWY0-662"" target='_blank'>BioCyc Link</a>",,
purine deoxyribonucleosides degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1297"" target='_blank'>BioCyc Link</a>",,
purine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00230"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00048"""" target=_new>SMP</a>",
purine ribonucleosides degradation to ribose-1-phosphate,,"<a href=""https://biocyc.org/HUMAN/new-image?type=PATHWAY&object=PWY0-1296"" target='_blank'>BioCyc Link</a>",,
putative anti-inflammatory metabolites formation from epa,,,,"<a href=""http://metafishnet.appspot.com/pathway/184"" target='_blank'>Other Link</a>"
putrescine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?object=Putrescine-Biosynthesis"" target='_blank'>BioCyc Link</a>",,
putrescine biosynthesis iii,,"<a href=""https://biocyc.org/META/new-image?object=PWY-46"" target='_blank'>BioCyc Link</a>",,
putrescine degradation iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-0"" target='_blank'>BioCyc Link</a>",,
pyridoxal 5'-phosphate salvage pathway,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PLPSAL-PWY"" target='_blank'>Other Link</a>"
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-7184"" target='_blank'>BioCyc Link</a>",,
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis i,,"<a href=""https://biocyc.org/META/new-image?object=PWY-7184"" target='_blank'>BioCyc Link</a>",,
pyrimidine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00240"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00050"""" target=_new>SMP</a>",
pyrimidine ribonucleosides degradation ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-7209"" target='_blank'>BioCyc Link</a>",,
pyrimidine ribonucleotides interconversion,,"<a href=""https://biocyc.org/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5687"" target='_blank'>BioCyc Link</a>",,
pyruvate decarboxylation to acetyl coa,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PYRUVDEHYD-PWY"" target='_blank'>Other Link</a>"
pyruvate dehydrogenase complex,,,,
pyruvate fermentation to ethanol ii,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-5486"" target='_blank'>Other Link</a>"
pyruvate fermentation to lactate,,,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5481"" target='_blank'>Other Link</a>"
pyruvate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00620"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00051"""" target=_new>SMP</a>",
r group synthesis,,,,"<a href=""http://metafishnet.appspot.com/pathway/187"" target='_blank'>Other Link</a>"
rapoport-luebering glycolytic shunt,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6405"" target='_blank'>Other Link</a>"
regulation of autophagy,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04140"" target=_new>KEGG</a>",,,
removal of superoxide radicals,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=DETOX1-PWY"" target='_blank'>Other Link</a>"
retinoate biosynthesis i,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-6872"" target='_blank'>Other Link</a>"
retinoate biosynthesis ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6875"" target='_blank'>BioCyc Link</a>",,
retinol biosynthesis,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-6857"" target='_blank'>Other Link</a>"
retinol metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00830"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00053"""" target=_new>SMP</a>",
riboflavin metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00740"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00054"""" target=_new>SMP</a>",
ribosome,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03010"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
ribosome biogenesis in eukaryotes,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03008"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
rna degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03018"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
rna polymerase,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03020"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
rna transport,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03013"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
ros detoxification,,,,"<a href=""http://metafishnet.appspot.com/pathway/188"" target='_blank'>Other Link</a>"
s-adenosyl-l-methionine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=SAM-PWY"" target='_blank'>BioCyc Link</a>",,
s-adenosylmethionine biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=SAM-PWY"" target='_blank'>Other Link</a>"
"salvage pathways of adenine, hypoxanthine and their nucleosides",,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-2220"" target='_blank'>Other Link</a>"
"salvage pathways of adenine, hypoxanthine, and their nucleosides",,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-2220"" target='_blank'>Other Link</a>"
"salvage pathways of guanine, xanthine and their nucleosides",,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-743"" target='_blank'>Other Link</a>"
"salvage pathways of guanine, xanthine, and their nucleosides",,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-743"" target='_blank'>Other Link</a>"
salvage pathways of pyrimidine deoxyribonucleotides,,"<a href=""https://biocyc.org/ECOLI/NEW-IMAGE?type=PATHWAY&object=PWY0-181"" target='_blank'>BioCyc Link</a>",,
salvage pathways of pyrimidine ribonucleotides,,"<a href=""https://biocyc.org/ECOLI/NEW-IMAGE?type=PATHWAY&object=PWY0-163"" target='_blank'>BioCyc Link</a>",,
saturated fatty acids beta-oxidation,,,,"<a href=""http://metafishnet.appspot.com/pathway/189"" target='_blank'>Other Link</a>"
secondary bile acid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00121"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
selenoamino acid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00450"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00058"""" target=_new>SMP</a>",
selenocompound metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00450"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
selenocysteine biosynthesis ii (archaea and eukaryotes),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6281"" target='_blank'>BioCyc Link</a>",,
serine biosynthesis,,"<a href=""https://biocyc.org/META/new-image?object=SERSYN-PWY"" target='_blank'>BioCyc Link</a>",,
serine biosynthesis from 3-phosphoglycerate,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=SERSYN-PWY&detail-level=2"" target='_blank'>Other Link</a>"
serine biosynthesis from glyoxylate,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-230&redirect=T"" target='_blank'>Other Link</a>"
serine racemization,,,,"<a href=""http://mousecyc.jax.org:1555/META/NEW-IMAGE?type=PATHWAY&object=PWY-6196"" target='_blank'>Other Link</a>"
serotonin and melatonin biosynthesis,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6030&detail-level=3&ENZORG=NONE"" target='_blank'>BioCyc Link</a>",,
serotonin degradation,,"<a href=""https://biocyc.org/META/new-image?object=PWY-6313"" target='_blank'>BioCyc Link</a>",,
sialic acid metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/191"" target='_blank'>Other Link</a>"
siroheme biosynthesis,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5194&detail-level=2&ENZORG=TAX-1404"" target='_blank'>BioCyc Link</a>",,
snare interactions in vesicular transport,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04130"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
sorbitol degradation,,"<a href=""https://biocyc.org/META/new-image?object=PWY-4101"" target='_blank'>BioCyc Link</a>",,
sorbitol degradation i,,"<a href=""https://biocyc.org/META/new-image?object=PWY-4101"" target='_blank'>BioCyc Link</a>",,
sorbitol utilization,,,,
spermidine and methylthioadenosine biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=BSUBPOLYAMSYN-PWY"" target='_blank'>Other Link</a>"
spermidine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=BSUBPOLYAMSYN-PWY"" target='_blank'>BioCyc Link</a>",,
spermidine biosynthesis i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=BSUBPOLYAMSYN-PWY"" target='_blank'>BioCyc Link</a>",,
spermine and methylthioadenosine biosynthesis,,,,
spermine and spermidine degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6117"" target='_blank'>BioCyc Link</a>",,
spermine biosynthesis,,,,
sphingolipid biosynthesis,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-7277"" target='_blank'>Other Link</a>"
sphingolipid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00600"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00059"""" target=_new>SMP</a>",
sphingolipid recycling and degradation (yeast),,"<a href=""https://biocyc.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-7119"" target='_blank'>BioCyc Link</a>",,
sphingomyelin metabolism,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&"" target='_blank'>BioCyc Link</a>",,
sphingosine and sphingosine-1-phosphate metabolism,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY3DJ-11470"" target='_blank'>BioCyc Link</a>",,
spliceosome,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03040"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
squalene and cholesterol biosynthesis,,,,"<a href=""http://metafishnet.appspot.com/pathway/193"" target='_blank'>Other Link</a>"
starch and sucrose metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00500"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00060"""" target=_new>SMP</a>",
stearate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5972"" target='_blank'>BioCyc Link</a>",,
stearate biosynthesis i (animals),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5972"" target='_blank'>BioCyc Link</a>",,
steroid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00100"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00063"""" target=_new>SMP</a>",
steroid hormone biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00140"" target=_new>KEGG</a>",,,
"stilbenoid, diarylheptanoid and gingerol biosynthesis","<a href=""http://www.genome.jp/kegg-bin/show_pathway?00945"" target=_new>KEGG</a>",,,
streptomycin biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00521"" target=_new>KEGG</a>",,,
styrene degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00643"" target=_new>KEGG</a>",,,
sucrose degradation,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=SUCUTIL-PWY"" target='_blank'>Other Link</a>"
sucrose degradation v (mammalian),,"<a href=""https://biocyc.org/HUMAN/new-image?type=PATHWAY&object=PWY66-373"" target='_blank'>BioCyc Link</a>",,
sulfate activation for sulfonation,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-5340"" target='_blank'>Other Link</a>"
sulfite oxidation iv,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?object=Sulfite-Oxidation"" target='_blank'>Other Link</a>"
sulfur metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00920"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
sulfur relay system,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04122"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
superoxide radicals degradation,,"<a href=""https://biocyc.org/META/new-image?object=DETOX1-PWY"" target='_blank'>BioCyc Link</a>",,
superpathway of gluconate degradation,,,,
superpathway of of purine nucleotides de novo biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-841"" target='_blank'>BioCyc Link</a>",,
synthesis and degradation of ketone bodies,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00072"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
taurine and hypotaurine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00430"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00065"""" target=_new>SMP</a>",
taurine biosynthesis,,"<a href=""https://biocyc.org/META/new-image?object=PWY-5331"" target='_blank'>BioCyc Link</a>",,
tca cycle,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00020"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/195"" target='_blank'>Other Link</a>"
tca cycle ii (eukaryotic),,,,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP434"" target='_blank'>Other Link</a>"
tca cycle variation iii (eukaryotic),,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-398"" target='_blank'>Other Link</a>"
"tca cycle, aerobic respiration",,,,
terpenoid backbone biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00900"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
tetrahydrobioprein biosynthesis i,,,,"<a href=www.pathwaycommons.org/pc/record2.do?id=505712"" target='_blank'>Other Link</a>"
tetrahydrobioprein biosynthesis ii,,,,"<a href=www.pathwaycommons.org/pc/record2.do?id=505713"" target='_blank'>Other Link</a>"
tetrahydrobiopterin biosynthesis i,,,,"<a href=www.pathwaycommons.org/pc/record2.do?id=505712"" target='_blank'>Other Link</a>"
tetrahydrobiopterin biosynthesis ii,,,,"<a href=www.pathwaycommons.org/pc/record2.do?id=505713"" target='_blank'>Other Link</a>"
tetrahydrofolate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6614"" target='_blank'>BioCyc Link</a>",,
"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6613"" target='_blank'>Other Link</a>"
tetrapyrrole biosynthesis,,"<a href=""https://biocyc.org/HUMAN/new-image?type=PATHWAY&object=PWY-5189"" target='_blank'>BioCyc Link</a>",,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP2950"" target='_blank'>Other Link</a>"
tetrapyrrole biosynthesis ii,,,,"<a href=""http://mousecyc.jax.org/MOUSE/NEW-IMAGE?type=PATHWAY&object=PWY-5189"" target='_blank'>Other Link</a>"
tgf-beta signaling pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04350"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
the visual cycle i (vertebrates),,,,"<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6861"" target='_blank'>Other Link</a>"
thiamin diphosphate biosynthesis iv (eukaryotes),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6908"" target='_blank'>BioCyc Link</a>",,
